OTUID,α-Hyodeoxycholic acid methyl ester,α-Hyodeoxycholic acid methyl ester .1,α-Hyodeoxycholic acid methyl ester .2,α-Hyodeoxycholic acid methyl ester .3,α-Hyodeoxycholic acid methyl ester .4,α-Hyodeoxycholic acid methyl ester .5,α-Hyodeoxycholic acid methyl ester .6,α-Hyodeoxycholic acid methyl ester .7,β-Hyodeoxycholic acid,β-Hyodeoxycholic acid.1,β-Hyodeoxycholic acid.2,β-Hyodeoxycholic acid.3,β-Hyodeoxycholic acid.4,β-Hyodeoxycholic acid.5,β-Hyodeoxycholic acid.6,β-Hyodeoxycholic acid.7,β-Hyodeoxycholic acid.8,β-Hyodeoxycholic acid.9,β-Hyodeoxycholic acid.10,β-Hyodeoxycholic acid.11,β-Hyodeoxycholic acid.12,β-Hyodeoxycholic acid.13,β-Hyodeoxycholic acid.14,β-Hyodeoxycholic acid.15,β-Hyodeoxycholic acid.16,β-Hyodeoxycholic acid.17,β-Hyodeoxycholic acid.18,β-Hyodeoxycholic acid.19,β-Hyodeoxycholic acid.20,β-Muricholic acid,β-Muricholic acid.1,β-Muricholic acid.2,β-Muricholic acid.3,β-Muricholic acid.4,β-Muricholic acid.5,β-Muricholic acid.6,β-Muricholic acid.7,β-Muricholic acid.8,β-Muricholic acid.9,β-Muricholic acid.10,β-Muricholic acid.11,β-Muricholic acid.12,β-Muricholic acid.13,β-Muricholic acid.14,γ-Muricholic acid,γ-Muricholic acid.1,γ-Muricholic acid.2,γ-Muricholic acid.3,γ-Muricholic acid.4,γ-Muricholic acid.5,γ-Muricholic acid.6,γ-Muricholic acid.7,γ-Muricholic acid.8,γ-Muricholic acid.9,γ-Muricholic acid.10,γ-Muricholic acid.11,γ-Muricholic acid.12,γ-Muricholic acid.13,γ-Muricholic acid.14,γ-Muricholic acid.15,γ-Muricholic acid.16,3β-Hydroxy-5-cholenoic acid,3β-Hydroxy-5-cholenoic acid.1,3β-Hydroxy-5-cholenoic acid.2,3β-Hydroxy-5-cholenoic acid.3,Chenodeoxycholic acid,Cholic acid,Cholic acid.1,Cholic acid.2,Cholic acid.3,Cholic acid.4,Cholic acid.5,Cholic acid.6,Cholic acid.7,Cholic acid.8,Cholic acid.9,Cholic acid.10,Cholic acid.11,Cholic acid methyl ester,Cholic acid methyl ester.1,Cholic acid methyl ester.2,Deoxycholic acid,Deoxycholic acid.1,Deoxycholic acid.2,12-Ketodeoxycholic acid (NIST14),12-Ketodeoxycholic acid (NIST14).1,12-Ketodeoxycholic acid (NIST14).2,12-Ketodeoxycholic acid (NIST14).3,12-Ketodeoxycholic acid (NIST14).4,12-Ketodeoxycholic acid (NIST14).5,3β-Hydroxy-5-cholenoic acid (NIST14),3β-Hydroxy-5-cholenoic acid (NIST14).1,3β-Hydroxy-5-cholenoic acid (NIST14).2,3β-Hydroxy-5-cholenoic acid (NIST14).3,3β-Hydroxy-5-cholenoic acid (NIST14).4,3β-Hydroxy-5-cholenoic acid (NIST14).5,3β-Hydroxy-5-cholenoic acid (NIST14).6,3β-Hydroxy-5-cholenoic acid (NIST14).7,Cholic acid (NIST14),Cholic acid (NIST14).1,Cholic acid (NIST14).2,Cholic acid (NIST14).3,Cholic acid (NIST14).4,Cholic acid (NIST14).5,Cholic acid (NIST14).6,Cholic acid (NIST14).7,Cholic acid (NIST14).8,Cholic acid (NIST14).9,Cholic acid (NIST14).10,Cholic acid (NIST14).11,Cholic acid (NIST14).12,Cholic acid (NIST14).13,Cholic acid (NIST14).14,Cholic acid (NIST14).15,Cholic acid (NIST14).16,Cholic acid (NIST14).17,Cholic acid (NIST14).18,Cholic acid (NIST14).19,Cholic acid (NIST14).20,Cholic acid (NIST14).21,Deoxycholic acid (NIST14),Deoxycholic acid (NIST14).1,Deoxycholic acid (NIST14).2,Deoxycholic acid (NIST14).3,Deoxycholic acid (NIST14).4,Deoxycholic acid (NIST14).5,Deoxycholic acid (NIST14).6,Deoxycholic acid (NIST14).7,Deoxycholic acid (NIST14).8,Deoxycholic acid (NIST14).9,Deoxycholic acid (NIST14).10,Deoxycholic acid (NIST14).11,Deoxycholic acid (NIST14).12,Lithocholic acid (NIST14),Tauroursodeoxycholic acid (NIST14),Tauroursodeoxycholic acid (NIST14).1,Tauroursodeoxycholic acid (NIST14).2,Ursodeoxycholic acid (NIST14),Taurocholic acid,Taurocholic acid.1,Taurocholic acid.2,Taurocholic acid.3,Taurocholic acid.4,Tauroursodeoxycholic acid,Ursocholic acid,Ursocholic acid.1,Ursocholic acid.2,Ursocholic acid.3,Ursocholic acid.4,Ursocholic acid.5,Ursocholic acid.6,Ursocholic acid.7,Ursodeoxycholic acid,Ursodeoxycholic acid.1,Ursodeoxycholic acid.2,Ursodeoxycholic acid.3, f__Ruminococcaceae, g__Parabacteroides, f__Lachnospiraceae, f__Coriobacteriaceae, f__Lachnospiraceae.1, g__Lactobacillus, f__Lachnospiraceae.2, g__Clostridium, f__Rikenellaceae, f__Lachnospiraceae.3, f__Lachnospiraceae.4, g__Ruminococcus, g__Clostridium.1, g__Allobaculum, g__Ruminococcus.1, g__Oscillospira, f__Lachnospiraceae.5, g__Odoribacter, g__Anaerostipes, g__Lactobacillus.1, f__S24-7, g__Coprococcus, f__Lachnospiraceae.6, f__Lachnospiraceae.7, g__Parabacteroides.1, f__Lachnospiraceae.8, g__Candidatus Arthromitus, g__[Ruminococcus], g__Akkermansia, g__Oscillospira.1, f__Lachnospiraceae.9, f__S24-7.1, g__Oscillospira.2, f__S24-7.2, g__Oscillospira.3, g__Lactobacillus.2, f__Lachnospiraceae.10, g__Oscillospira.4, g__Alistipes, f__Ruminococcaceae.1, f__Lachnospiraceae.11, g__Anaeroplasma, f__Lachnospiraceae.12, g__Ruminococcus.2, g__Dorea, f__Lachnospiraceae.13, f__Lachnospiraceae.14, f__Rikenellaceae.1, f__Ruminococcaceae.2, f__Ruminococcaceae.3, f__S24-7.3,Week,Category
578.T2,0,0,0,0,0,0,0,22266,0,0,0,0,0,0,0,134144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34752,0,0,0,2114,0,42753,0,0,0,0,0,0,0,0,0,218554,0,145042,0,89154,0,0,0,0,0,0,0,0,0,0,0,0,20543,30853,0,0,0,0,0,0,0,77133,0,0,0,62100,1847,0,0,0,0,0,0,518300,0,0,0,0,107783,0,0,0,0,369276,0,0,0,0,0,0,0,0,0,7613,0,0,0,0,0,0,0,0,13575,0,0,0,0,0,17658,0,257289,0,132932,0,0,0,24372,360383,0,0,0,0,11631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23337,0,0,0,0,0,117,0,557,125,0,110,58,415,0,0,158,0,430,114,0,92,0,0,0,57,0,0,0,0,0,0,0,0,0,0,152,0,0,0,0,425,0,167,12,63,109,0,0,0,0,106,0,37,0,0,0,2,Letrozole
580.T2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46738,0,0,0,4467,0,0,30172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26114,0,0,0,0,110941,0,0,0,2667,0,0,47959,0,15890,0,0,190461,0,0,0,0,0,0,0,28684,0,478970,0,0,0,0,0,0,59365,0,7369,0,0,0,0,0,0,0,49121,0,9779,51244,0,0,0,0,3759,13140,64266,0,169650,0,0,0,0,0,0,0,0,1966,0,0,0,0,0,0,5844,0,0,0,0,0,59602,0,0,0,156676,0,0,0,0,0,13,133,0,98,44,0,5081,0,0,0,0,231,0,0,0,0,10,0,0,0,0,0,0,0,74,0,0,27,0,127,0,0,0,0,604,0,73,0,63,0,0,153,39,0,0,0,391,0,0,0,2,Letrozole
581.T2,3569,0,0,0,0,0,0,0,0,0,33602,0,0,0,0,33183,0,0,0,0,0,0,91563,0,0,0,0,13057,0,0,0,0,9709,0,0,0,0,7994,0,0,19237,0,0,0,0,0,0,0,271955,0,31101,0,0,0,40011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,309475,28324,0,0,0,219813,0,0,0,0,0,0,0,0,38325,0,0,56935,0,0,0,0,0,0,0,0,108858,0,0,4251,8386,0,0,11064,0,7340,0,100877,2988,69382,0,0,0,0,0,0,12602,0,0,0,0,0,0,0,0,0,0,0,59060,0,0,0,0,0,0,0,0,0,0,0,0,0,159,0,62,54,0,5543,0,0,0,0,0,0,0,0,0,54,36,0,0,0,63,176,0,0,0,0,15,0,155,0,0,0,0,288,200,126,0,38,108,0,23,45,0,22,0,0,0,0,0,2,Letrozole
582.T2,0,0,0,0,0,0,0,76694,0,11171,0,0,0,0,0,0,0,0,0,0,0,48734,47119,0,0,0,0,0,0,0,0,0,0,5999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249556,0,0,0,0,0,0,0,0,14694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188012,0,26717,0,0,21250,0,0,155966,0,0,0,33918,233353,0,0,61866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13412,0,0,0,0,0,0,0,316083,0,0,0,0,18957,0,0,0,0,0,0,0,0,18380,0,0,0,0,0,0,23715,0,0,0,0,0,0,0,0,0,0,0,22,7,133,0,71,39,97,5216,0,0,113,0,0,0,0,0,0,43,49,30,0,0,75,0,0,51,0,47,92,0,163,0,0,0,25,617,140,122,5,42,99,0,0,0,0,0,66,0,0,0,0,2,Letrozole
583.T2,0,0,0,0,0,0,0,67035,0,0,0,0,0,0,0,85806,0,0,0,0,0,10839,36225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33226,0,0,0,0,0,473181,0,0,0,63233,0,0,0,0,0,0,0,0,0,0,0,0,15336,0,0,3347,0,0,0,0,0,145862,0,0,0,71866,12834,8308,0,0,0,0,0,205298,0,0,0,0,259834,0,0,0,0,0,0,0,0,0,0,0,0,0,25856,0,0,0,0,0,0,0,0,0,19007,0,1650,0,0,0,0,0,419766,0,0,0,0,34638,0,0,0,6283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,5,0,19,93,286,0,68,0,0,205,40,0,0,11,23,0,0,0,0,0,0,0,0,11,60,0,0,0,0,0,0,0,1976,0,0,9,38,34,0,0,0,0,0,0,0,38,160,16,2,Letrozole
584.T2,0,17388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28939,0,0,0,0,0,0,0,0,0,177361,0,27608,0,41819,0,0,0,0,0,0,0,0,0,0,0,0,12793,0,0,0,0,0,0,0,0,0,0,0,0,8706,0,0,0,0,0,0,0,376269,0,0,0,68041,643398,0,0,56620,0,0,0,18428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3901,0,0,0,0,63987,38674,2929,0,0,434281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,2,0,0,0,316,133,719,0,0,78,61,0,0,9,0,0,0,65,153,15,0,0,51,16,0,3,122,43,0,176,0,0,0,0,505,51,18,6,0,493,6,0,0,0,0,0,0,10,0,34,2,Letrozole
585.T2,0,0,0,0,0,0,40110,40855,0,0,0,0,0,0,0,54497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33014,2435,0,0,0,0,0,0,0,0,0,27851,0,0,0,0,0,0,0,0,60663,0,60136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64644,0,0,0,66989,14959,0,0,0,0,0,0,196318,5706,84041,0,15410,274295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4861,0,0,0,0,0,15811,0,0,0,0,57454,7231,0,257355,10961,0,0,0,36601,0,0,97202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,15,132,0,129,52,0,0,217,0,0,0,0,22,0,0,0,49,182,80,0,0,0,0,0,99,0,52,42,67,504,0,107,0,52,0,0,0,0,74,368,54,0,86,0,0,77,240,0,154,35,2,Letrozole
586.T2,0,0,0,0,0,0,0,16858,0,0,0,0,0,0,0,55798,0,0,14220,0,0,0,0,0,0,0,0,0,0,0,0,40265,110059,0,0,0,0,0,0,0,42183,0,0,0,16682,0,0,0,196420,0,204990,0,23754,0,0,0,0,0,0,0,0,0,0,0,0,12555,0,0,0,0,0,0,0,0,0,0,0,0,13762,0,0,43548,0,0,79884,0,0,0,0,0,15486,197124,0,0,125196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3430,1745,0,0,0,8079,0,59550,0,266322,0,0,108530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,99,0,0,130,0,0,37,0,0,0,152,0,0,69,28,26,132,150,0,86,0,107,57,58,15,199,310,27,333,0,0,0,50,344,65,108,0,102,85,125,109,126,0,64,121,82,0,0,152,2,Letrozole
589.T2,0,0,0,0,0,25336,80104,0,0,0,0,0,0,0,0,81830,0,0,0,0,0,0,67059,0,25439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15572,120469,0,0,0,0,0,0,0,439351,0,0,0,0,0,46641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25873,0,0,0,0,500448,0,0,0,2608,0,0,0,0,0,104422,0,655577,0,0,0,0,474672,0,0,0,0,0,0,0,9802,0,0,0,388395,0,0,0,0,0,0,0,0,352709,64645,0,33412,94457,4630,0,0,0,37069,66580,399480,0,332990,2333,0,47080,0,117947,0,0,19859,0,27214,0,0,0,0,20849,7608,0,2343,0,0,0,52467,0,0,16117,0,9263,0,0,0,0,0,0,0,0,20,0,275,0,51,0,29,169,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,2,Co-L
593.T2,9516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27072,0,0,39446,0,0,67119,0,0,0,0,0,0,0,0,0,415145,0,21392,0,53170,48831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46025,0,0,0,0,0,0,0,0,0,32520,0,243979,0,0,0,90154,768797,0,0,50530,0,0,0,0,0,0,0,0,376913,0,0,0,0,0,0,0,0,655612,0,0,29912,60731,8362,0,0,60808,12008,0,0,0,439938,0,0,0,0,0,0,0,4741,0,7710,0,0,0,16452,29465,5974,0,0,162457,0,0,0,0,0,0,0,0,0,60317,0,0,0,0,0,0,0,0,1062,0,0,0,0,0,0,0,0,0,66,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,1761,0,0,0,11,0,0,0,0,0,0,240,465,0,0,0,2,Co-L
